,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4154,Thirsty,PARTYNEXTDOOR,3N1p1YDidgHABxyKfG5P6z,pop,2014-07-29,50,0.616,0.606,8,-5.636,0,0.0332,0.00826,0.000208,0.176,0.0919,104.184,301896,4
4155,American Funeral - STAR Remix,Star Cast,4n14fcVvYM5fTfgj5ag9tH,pop r&b,2017-03-15,33,0.369,0.399,10,-5.307,0,0.0414,0.781,0.000128,0.0992,0.127,99.383,177693,4
4156,Kiss Goodbye,Cody Johnson,1WFAhQMCbWkYq8dUqPakEM,contemporary country,2016-08-05,54,0.617,0.652,7,-5.133,0,0.0293,0.151,0.0,0.107,0.242,86.972,200787,4
4157,Century,Feist,4hveaujdZjSxTY8raqC1pI,canadian indie,2017-04-28,27,0.358,0.695,10,-5.698,0,0.0494,0.0211,0.0261,0.0901,0.208,131.237,353173,4
4158,Serenity,Reiki,1OUSLMM1mRpjNOUrgZlOYM,reiki,2010-07-28,25,0.431,0.03,5,-18.003,1,0.116,0.99,0.923,0.0971,0.586,165.71,208371,3
4159,All Day All Night,Ziggy Marley & The Melody Makers,5u443U2koIGz1v3DolT9rN,reggae,1999,0,0.658,0.536,0,-10.799,0,0.226,0.0689,0.0,0.091,0.764,103.095,253887,3
4160,You've Got a Friend in Me,Michael Bublé,5xEfTvJm1WvxaSEo4XSbEs,adult standards,2013-04-11,49,0.461,0.355,2,-8.046,1,0.0354,0.618,0.0,0.634,0.336,112.149,205693,4
4161,The Con,Tegan and Sara,4CD4GfHOwo5ZP4FkIMTK6j,canadian indie,2007-07-24,47,0.568,0.854,8,-6.214,1,0.0316,0.183,0.0,0.3,0.704,130.16,209267,4
4162,Angel Duster,Run The Jewels,6m4CfDdxg16D58LkfD9c3X,alternative hip hop,2014-12-19,17,0.507,0.81,6,-6.84,1,0.105,0.003,8.17e-06,0.314,0.207,175.71,309840,5
4163,Everything,Ron Pope,64p5emwVTAyOXQ97HfwhaR,acoustic pop,2012-04-17,22,0.526,0.55,2,-6.174,1,0.0309,0.392,6.14e-05,0.0759,0.3,143.61,256160,4
4164,The Consequences Of Not Sleeping,Little Green Cars,6z7C4WbOGhKCP4jO5LvbJa,irish rock,2013-01-01,0,0.496,0.457,10,-9.965,1,0.025,0.744,0.00365,0.0984,0.22,97.442,190133,4
4165,Swamp Music,Lynyrd Skynyrd,17jdqGUsxfqm9n2HnbWSYq,album rock,1974-04-15,46,0.399,0.781,9,-12.421,1,0.0925,0.046,0.0552,0.105,0.691,186.72,211093,4
4166,"Star Spangled Banner - Live at The Woodstock Music & Art Fair, August 18, 1969",Jimi Hendrix,3lpa6fzS3rSAbRogEhWxu7,acid rock,1999-07-06,36,0.187,0.988,4,-3.68,1,0.253,0.364,0.818,0.798,0.129,112.361,223480,4
4167,Down,SafetySuit,6zFbKdTkgniD7ccuHxOPuL,neo mellow,2008-01-01,26,0.419,0.967,6,-1.751,0,0.0846,0.00238,0.0164,0.126,0.333,101.936,231093,4
4168,Do You...,Miguel,0HDJk7Sz8DpCsiJR1sjhEO,dance pop,2012,45,0.593,0.589,11,-6.401,1,0.0366,0.462,3.88e-06,0.0937,0.306,148.055,207920,4
4169,Summit (feat. Ellie Goulding),Skrillex,2x8D2KLYFsVcj0FvR6kKrt,brostep,2011-12-23,23,0.692,0.773,6,-3.739,1,0.0359,0.226,0.0104,0.108,0.486,139.989,373987,4
4170,River Song,Dennis Wilson,70Ao5L10SKV701DcOH68Jo,country rock,1977,40,0.429,0.558,10,-11.079,1,0.0299,0.0941,1.36e-05,0.403,0.209,133.188,224307,4
4171,Geht's Noch,DubVision,6rxnC0EEpJEGPoM64uz4mV,big room,2017-01-17,0,0.761,0.958,9,-4.232,1,0.0803,0.0394,0.116,0.929,0.367,125.954,182619,4
4172,Fade Away,Rebelution,4TyCnstYu6LGrjka5WW6ft,reggae rock,2014-06-10,58,0.685,0.54,9,-9.701,1,0.0253,0.181,0.015,0.114,0.235,109.926,209253,4
4173,¡Viva La Gloria!,Green Day,575urseJcD6iGioNWuQy3H,permanent wave,2009-05-15,49,0.232,0.937,4,-4.141,1,0.0998,0.00389,0.0,0.516,0.296,178.431,210507,4
4174,It's In The Mornin,Robin Thicke,5KyznPsIMzQpzPcNnb67rd,dance pop,2009-01-01,38,0.604,0.631,2,-8.006,1,0.312,0.417,0.0,0.118,0.53,79.094,181427,4
4175,Fire,Jimi Hendrix,5LI7PoHEolR8plrf3I16sq,acid rock,1967-05-12,54,0.479,0.944,9,-5.167,1,0.115,0.00206,0.0283,0.356,0.572,153.45,163800,4
4176,Polaroid,Shwayze,5H4qNL38lIfTIfKDj4THf2,indie pop rap,2008-01-01,34,0.62,0.896,0,-4.967,1,0.0619,0.0843,0.0,0.178,0.819,199.939,286960,4
4177,D.D.,The Weeknd,7eZ7ODAt9cALYnWLO8F6Fd,canadian contemporary r&b,2012-11-13,62,0.68,0.707,7,-7.225,0,0.0987,0.479,0.0,0.511,0.382,119.993,275493,4
4178,Como Yo Le Doy,Don Miguelo,0Qo4p11Mu3T0KVJJ55Of1c,dembow,2014-03-01,0,0.827,0.777,7,-6.455,1,0.104,0.295,3.42e-05,0.306,0.835,98.001,222377,4
4179,"Hello, My Name Is",Matthew West,2XEdrmqNM9ZQQ24ViuceB0,ccm,2012-01-01,59,0.595,0.894,11,-4.115,1,0.0323,0.000583,1.24e-06,0.326,0.643,101.987,223427,4
4180,Paris,The 1975,59RNdFA4oFNIvTIvaBxqgQ,modern alternative rock,2016-02-26,52,0.792,0.662,8,-6.516,1,0.0356,0.53,0.0012,0.0598,0.863,117.012,293067,4
4181,I'm Still in Love with You,Al Green,2GEDd9qtGXU7IvGgqTF6Uj,classic soul,1972-10-23,53,0.712,0.399,0,-9.551,1,0.0282,0.159,0.000377,0.0881,0.799,97.918,191636,4
4182,I Like What You Say,Nada Surf,2r4P2y2svnJEeoCeZRejir,power pop,2008-01-01,23,0.512,0.78,4,-5.82,1,0.0297,0.000527,5.8e-05,0.105,0.519,133.068,188787,4
4183,"Best Imitation Of Myself - Live at the Roseland Ballroom, New York, NY - June 2002",Ben Folds,5jVBK8W7lKD83DoWnfASrg,permanent wave,2002-10-08,23,0.573,0.391,0,-9.836,1,0.0856,0.758,0.0,0.875,0.591,111.706,193360,4
4184,Best of 2013 Mash-Up,Anthem Lights,7qzDSqVVZy9gEpjRrbuhs4,ccm,2013-10-29,39,0.443,0.387,11,-6.726,1,0.0328,0.639,0.0,0.0759,0.467,120.511,252557,4
4185,I'll Be Alright,Passion Pit,2oq2dbjW3sxOY0BscMWd7Q,alternative dance,2012-07-23,43,0.52,0.873,2,-5.365,1,0.0572,9.13e-05,1.96e-06,0.226,0.52,140.027,262453,4
4186,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,7F9vK8hNFMml4GtHsaXui6,pop,2017-07-21,70,0.683,0.53,5,-4.918,0,0.142,0.207,0.0,0.394,0.645,75.016,190428,4
4187,Gotta Get Away,The Offspring,4NZn1vRGq9s83B7JWsoQgn,alternative metal,2005-06-21,0,0.528,0.867,4,-4.298,0,0.0616,0.000867,0.000136,0.0962,0.607,132.764,231827,4
4188,Shiny,Jemaine Clement,1IZwCzAmaFmmdJj0cmhaax,waiata mo tamariki,2016-11-18,64,0.641,0.68,0,-7.64,1,0.23,0.482,0.0,0.101,0.574,146.116,185467,4
4189,Clark,C418,4o0YiMA52IzmOn5yIdIhu5,dream smp,2011-03-04,57,0.217,0.00638,9,-23.367,0,0.0399,0.982,0.853,0.0732,0.0395,81.578,191750,4
4190,Littlest Things,Lily Allen,16tU7M0qquqkou1MnipA9h,dance pop,2006-05-08,36,0.283,0.701,4,-7.595,0,0.135,0.66,1.67e-06,0.111,0.564,165.752,187413,4
4191,Burning Down the House - Live,Talking Heads,3L9NsP191RY35x0UxlgajR,art punk,1984,46,0.654,0.864,7,-9.389,1,0.04,0.00457,0.0649,0.979,0.48,109.672,246307,4
4192,The Flame - Single Version,Cheap Trick,1pKubpcbRCOLY4wbvSDqzt,album rock,2015-11-27,48,0.631,0.62,4,-8.847,1,0.0267,0.574,6.27e-06,0.11,0.3,96.82,281693,4
4193,(God Must Have Spent) A Little More Time On You - Remix,*NSYNC,08zfRiERqpy7J0x8akk7zt,boy band,1997,53,0.375,0.527,10,-8.422,1,0.0507,0.449,0.0,0.305,0.303,167.242,241493,4
4194,Mean Girls,Rachel Crow,3VJ18D4rUe0KCACLWU8gtB,talent show,2012-06-26,28,0.63,0.619,11,-4.609,1,0.077,0.268,0.0,0.156,0.484,159.811,189627,4
4195,Unglued,Stone Temple Pilots,1L6BrtDhR1JQeKFYALA6Yc,alternative metal,1994-06-07,0,0.424,0.986,9,-5.974,1,0.0632,0.00031,0.0158,0.126,0.347,146.429,154027,4
4196,Born To Hand Jive (Glee Cast Version),Glee Cast,6ihcKg7L1TxDtwajts0m7o,glee club,2012-11-06,40,0.654,0.872,1,-6.08,1,0.0563,0.00222,0.00458,0.186,0.661,127.762,163173,4
4197,Already Callin' You Mine,Parmalee,3jSyE8r8vgg8fmwojoMzql,contemporary country,2013-12-10,51,0.59,0.887,1,-2.634,1,0.0353,0.0504,0.0,0.132,0.679,120.061,184387,4
4198,I Ain't No Pin-Up,Haystak,2GA0KB3kl4HZiokMQehUaE,country rap,2005-08-02,0,0.76,0.692,1,-6.674,1,0.139,0.0282,0.0,0.0463,0.95,140.326,315027,4
4199,Magma,Chicano Batman,1rUIpUlWtztoo3rVAuSTH4,indie garage rock,2014-02-18,45,0.609,0.668,1,-7.191,0,0.0471,0.364,0.0563,0.0848,0.514,82.533,281867,4
4200,Conversation 16,The National,34XEXrLfzi7Vp8ULBSWNOv,indie rock,2010-05-10,0,0.554,0.851,11,-7.61,0,0.0369,0.611,0.913,0.24,0.513,116.976,258933,4
4201,No Rest for the Wicked (feat. A$AP Rocky),Lykke Li,52YQNEUOcJyJ0iLxeLtYPX,art pop,2014-04-23,31,0.616,0.531,7,-6.201,1,0.0315,0.0381,1.06e-05,0.298,0.183,98.92,183014,4
4202,Boot Scootin' Boogie,Brooks & Dunn,0KMzyApR43L4JH9ZMHS1Km,contemporary country,2012-04-17,44,0.656,0.817,11,-4.296,0,0.0435,0.22,0.0,0.304,0.862,130.448,198227,4
4203,Christmas,Blues Traveler,0ZuvzyWY4MW35P9GIJTZBY,alternative rock,1997-01-01,0,0.362,0.672,0,-9.045,1,0.0423,0.0238,0.000829,0.304,0.706,153.648,344307,3
4204,Open Up,Gallant,4bW1EAnsS22bviZ0ijkhwN,alternative r&b,2016-05-04,41,0.658,0.355,0,-8.766,1,0.143,0.297,1.6e-05,0.0843,0.267,108.98,277973,4
4205,When I See This Bar,Kenny Chesney,5ZUDwKhUfJrlY8eo85XHPb,contemporary country,2013-04-29,0,0.711,0.719,7,-7.345,1,0.0249,0.0265,2.52e-05,0.16,0.541,111.067,361173,4
4206,Small Town Saturday Night,Hal Ketchum,7uLQTOxQ3nwwoHuxwt2AHJ,country,1991-04-29,60,0.627,0.697,8,-6.61,1,0.0266,0.218,0.0,0.0733,0.933,154.086,177987,4
4207,Counterfeit Love,Rebelution,4HwGaG1A7TazMe2J8oQhaO,reggae rock,2014-06-10,37,0.856,0.563,7,-8.296,1,0.0473,0.0311,0.00139,0.133,0.933,140.014,210080,4
4208,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,Santana,41IShViF79gmulEkIHAjcb,blues rock,2002-09-30,62,0.59,0.929,2,-3.236,1,0.0478,0.0714,0.000153,0.0598,0.674,119.818,254467,4
4209,Do It To Ya,YG,3oiHKYb11NDsLlHJZXYa53,cali rap,2014-01-01,0,0.821,0.507,10,-9.732,0,0.229,0.0669,0.0,0.486,0.635,97.013,265693,4
4210,We're Callin' U,Silk,4hmD94pflgkkUHqcU4KrWg,atl hip hop,2001-06-12,27,0.719,0.548,11,-9.029,0,0.0683,0.0885,0.0,0.134,0.475,126.017,448000,4
4211,Retrograde,James Blake,03CLsFk6JSz301bKuukPSD,alternative r&b,2013-04-08,0,0.324,0.256,7,-11.229,0,0.042,0.869,0.078,0.134,0.182,77.906,223600,4
4212,Tornado,Little Big Town,3HvNzmI0hX2dXcE41lBMxi,contemporary country,2013-01-01,48,0.739,0.696,3,-5.149,0,0.0247,0.0459,9.61e-05,0.107,0.492,97.004,223573,4
4213,Some Devil,Dave Matthews,1SAOWkB41hU4vE9L0VctyS,pop rock,2003-09-22,37,0.554,0.167,9,-12.454,1,0.0307,0.95,0.000301,0.112,0.0793,79.554,245173,4
4214,Cocky,Shy Glizzy,1EBTdYrrRrNBjIAYcn6bkm,dmv rap,2014-12-02,22,0.832,0.659,1,-6.51,0,0.0457,0.00394,0.0,0.109,0.252,118.915,226720,4
4215,I Do,Susie Suh,1rZFC696WndvqvpFfjr4Wu,acoustic pop,2011-12-18,53,0.766,0.191,7,-12.606,1,0.0394,0.932,7.95e-06,0.261,0.262,104.03,212017,4
4216,How To Disappear Completely,Radiohead,69pwmeyvQMuHMtkCmpEWhQ,alternative rock,2000-10-01,0,0.168,0.302,6,-11.645,0,0.0344,0.315,0.79,0.11,0.205,102.041,356333,4
4217,Where I Came From,Cousin Stizz,1mdNXzRlYoepdozQksztOf,boston hip hop,2016-08-05,29,0.718,0.718,1,-5.331,0,0.0876,0.398,0.0,0.424,0.232,113.949,161893,4
4218,No Games,Serani,3OKh1chSsdFvIWakSOSj8e,dancehall,2012-11-06,32,0.802,0.913,7,-4.829,1,0.171,0.000592,0.0,0.132,0.761,98.524,175520,4
4219,All That I've Got,The Used,7KzNRNvOd2kbaRpOm9ENDE,post-hardcore,2004-01-24,49,0.336,0.851,7,-4.756,1,0.0505,0.00284,0.0,0.222,0.48,177.956,238720,4
4220,Never Stop,SafetySuit,0Zxgbt8MzrgjHnXQT4C2kt,neo mellow,2012,44,0.347,0.68,4,-4.447,1,0.034,0.00236,3.08e-06,0.108,0.243,145.063,215413,4
4221,The Only Thing Worth Fighting For - From The HBO Series True Detective,Lera Lynn,0x4RvmRUo65KBxkMYavsyK,alternative country,2015-06-16,0,0.556,0.18,9,-12.621,0,0.0357,0.98,0.00115,0.11,0.11,113.441,196613,4
4222,Trap House,A Boogie Wit da Hoodie,2pFwdWMfP4pu3FUhCCWkDT,melodic rap,2016-09-16,49,0.779,0.714,6,-5.203,0,0.206,0.309,0.0,0.0765,0.398,135.974,186253,4
4223,Way Back Into Love,Hugh Grant,0zYP35FfMItfaP6c9gcQZB,hollywood,2006-02-13,60,0.281,0.675,10,-6.033,1,0.0353,0.0399,0.0,0.129,0.565,203.473,277853,4
4224,"Stairway to Heaven - Live: O2 Arena, London - December 10, 2007",Led Zeppelin,3KCT8vm2H2OEUeS99ID6W1,album rock,2012-11-19,46,0.23,0.475,7,-10.349,0,0.0316,0.01,0.0046,0.742,0.184,74.681,529267,4
4225,There's A Brain In My Head,White Denim,4KCJKTvuCRCoevAIk47ULQ,austin rock,2016-03-25,20,0.407,0.675,9,-5.59,1,0.0681,0.0556,6.54e-05,0.102,0.49,133.575,213987,4
4226,Headlock (Live),Lennon & Maisy,1t8eloVhmcvgTH46bp7Rzs,canadian country,2016-11-08,0,0.594,0.183,10,-10.926,0,0.069,0.857,0.0,0.115,0.377,127.035,149577,4
4227,These Times,SafetySuit,4KertSohCR9hCICX43DkNs,neo mellow,2012,27,0.444,0.674,0,-6.404,1,0.0306,0.00784,2.71e-05,0.183,0.109,90.013,252507,4
4228,Fire In The Hole,Steely Dan,4usVYcPlxRgRet6YashdCJ,album rock,1972-01-01,50,0.619,0.438,3,-13.139,1,0.0359,0.528,0.000869,0.0623,0.541,73.122,208093,4
4229,Get it Daddy,Sleeper Agent,2tLyWPd5p0Swz31Ky1beYG,kentucky indie,2012-12-05,0,0.507,0.933,9,-4.935,1,0.0533,0.000101,0.0507,0.251,0.464,116.752,145333,4
4230,Friend Of Mine - Remix,Kelly Price,35irxCsC8QXJ1IN0eioD3H,hip pop,1998-01-01,43,0.737,0.366,10,-8.346,0,0.032,0.35,0.0,0.0707,0.395,109.876,377507,4
4231,These Arms of Mine - Live At Whiskey A Go Go / 9th April 1966,Otis Redding,1Zc6IXcsqzbWUk0nJjlxmT,classic soul,2014-01-01,1,0.628,0.337,3,-9.54,1,0.0435,0.244,0.0,0.91,0.639,79.729,194880,3
4232,Hold On,Pusha T,5qmZ34T5FJgLTiYA586MA5,alternative hip hop,2013-01-01,0,0.337,0.72,6,-7.347,1,0.313,0.0973,0.0,0.18,0.223,72.063,285600,4
4233,Something I Said,Travelers,65QFqaoRzbCMGrfjCQs42W,electronicore,2016-01-15,11,0.563,0.765,9,-7.855,1,0.0297,0.287,0.0844,0.24,0.479,108.994,194013,3
4234,Need U (100%) - Radio Edit,Duke Dumont,4pYlJsKrPbc1Vy6OExIxZx,destroy techno,2013-01-01,0,0.669,0.845,1,-5.139,1,0.0546,0.00173,0.00325,0.437,0.443,123.942,173687,4
4235,Stereo Love - Radio Edit,Edward Maya,1AguHaKOuggrVTebp7cZEI,romanian house,2010-02-02,64,0.799,0.783,1,-3.896,0,0.0322,0.0346,0.0186,0.0757,0.586,127.041,184573,4
4236,Hurricane,Mindy Smith,2VauxvqwULvsC9inM6j7IU,acoustic pop,2004-01-01,24,0.604,0.103,6,-14.27,1,0.0347,0.819,0.0,0.0955,0.112,115.785,212973,4
4237,Faint,Linkin Park,4Yf5bqU3NK4kNOypcrLYwU,alternative metal,2003-03-24,71,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,162600,4
4238,We Are One - WWE Mix,12 Stones,0xN2e2Odk9nPLOLpacow2e,alternative metal,2010-01-01,42,0.394,0.934,10,-5.494,1,0.103,0.000205,0.000258,0.204,0.262,127.041,223160,4
4239,Salad Days,Mac DeMarco,2QilECqmzYBoI6yS5D8ftS,edmonton indie,2014-03-28,47,0.433,0.784,5,-6.886,1,0.0382,0.0895,0.0372,0.124,0.757,200.672,145893,4
4240,Molotov,For Today,4SHYWejZBEMO2chmHfOBYJ,christian hardcore,2014-02-04,32,0.414,0.997,4,-1.838,0,0.223,0.00874,0.0,0.372,0.229,110.654,209480,4
4241,Ya Best Bet,Haystak,4O1CjuV9OFrnnZhUFY7Uuo,country rap,2010-11-30,6,0.685,0.877,1,-5.406,1,0.277,0.0322,0.0,0.0607,0.882,186.915,260160,4
4242,"Here, There and Everywhere",Emmylou Harris,0cqh5DPUXvg7IHmHwLUC0C,country rock,1975,46,0.293,0.0979,10,-13.336,1,0.0332,0.931,0.000176,0.105,0.334,148.492,221280,4
4243,Speakerbox (feat. Lafa Taylor),Bassnectar,1ti43ZT6bc4o1eGOSnBHkO,breakbeat,2015-06-30,0,0.507,0.934,8,-2.325,0,0.188,0.00943,0.0018,0.222,0.471,175.954,282273,4
4244,Through The Storm,Yolanda Adams,0FhdZmBWfsI0aXv7gX3haP,gospel,1991,25,0.303,0.301,10,-11.84,1,0.032,0.33,7.93e-06,0.179,0.196,169.268,294453,3
4245,Welcome To New York,Taylor Swift,10nqz67NQWWa7XPq7ycihi,pop,2014-01-01,63,0.793,0.634,7,-4.807,1,0.0324,0.038,1.76e-06,0.304,0.615,117.023,212600,4
4246,Destroyer,Static-X,6jtsHAcDPAzPHmVoDwgItQ,alternative metal,2007-04-02,39,0.632,0.994,3,-2.155,1,0.122,0.0123,0.000192,0.336,0.344,134.039,165853,4
4247,Volare (Nel Blu Di Pinto Di Blu) - Remastered,Dean Martin,5OkKOkdVTKFrYi6GWXkMzR,adult standards,1958,65,0.612,0.144,6,-12.204,0,0.0352,0.88,0.0,0.203,0.343,128.629,181627,4
4248,Words as Weapons,Birdy,7K4H981XtOLGZv3EmbAJpn,pop,2013-09-16,31,0.644,0.845,11,-6.343,0,0.0401,0.0459,0.000135,0.163,0.547,120.018,221661,4
4249,Time Bomb,Rancid,41kg2RvdwBuIv0OPpvBS4v,punk,1995-08-15,64,0.646,0.962,9,-4.862,1,0.0536,0.138,0.0,0.471,0.961,164.79,144333,4
4250,Eat Sleep Worry,Mree,0sZUfdAajnMsqTLyAYo7Mw,ambient folk,2015-08-06,23,0.444,0.0999,11,-19.172,1,0.0304,0.927,0.000122,0.121,0.0812,103.311,252333,3
4251,Champions (feat. Harry Brooks Jnr),Astronaut,0UFtsK5aSrq5zYai4aikAu,complextro,2014-06-16,0,0.495,0.791,6,-3.799,0,0.0656,0.121,0.0,0.0863,0.13,127.99,209062,4
4252,Unpretty - Radio Version,TLC,6iFP92AND2nfZrEQyY0mN8,atl hip hop,2003-09-30,42,0.66,0.619,7,-6.295,1,0.0428,0.000919,0.000253,0.131,0.572,88.676,240067,4
4253,Boys & Girls,will.i.am,2bhClfvMI1WBazskedPFB5,dance pop,2016-04-08,0,0.899,0.74,11,-6.569,0,0.0527,0.346,0.00335,0.0914,0.623,107.998,241160,4
4254,Endless Love (with Mariah Carey),Luther Vandross,7IljDTNkQEyy77CcaRbiAj,funk,1994-09-20,62,0.231,0.477,10,-7.748,1,0.029,0.747,2.61e-06,0.122,0.235,95.969,259667,4
4255,Lot to Learn,Luke Christopher,2HzfRSfCogBSsgW2CckVA2,indie pop rap,2017-07-28,55,0.422,0.852,6,-3.546,1,0.208,0.0845,0.0,0.0687,0.666,82.914,248387,4
4256,Wet,Tech N9ne,4DXzZRwu0wHATFsplMqF22,hip hop,2016-12-09,31,0.71,0.651,6,-6.623,0,0.414,0.215,0.0,0.192,0.465,87.117,210827,4
4257,Centred on You,Atlas Genius,5EESpU3vbel9NVcm7TWcI8,indie poptimism,2013-02-18,24,0.716,0.645,10,-5.692,1,0.0304,0.000886,0.0,0.0949,0.585,121.002,214200,4
4258,Never Lie (2015),Immature,4eTNS8AffrdF6sFjbZvYgZ,new jack swing,2015-01-20,22,0.444,0.429,0,-10.736,1,0.033,0.0932,0.0,0.126,0.183,139.991,301500,4
4259,Main Title: Prologue Pt. 1,Alan Menken,3vYoq9YnTdpHDuWleiXai5,broadway,2017-03-10,41,0.523,0.278,2,-14.919,0,0.0348,0.822,0.0167,0.218,0.57,101.117,42640,5
4260,Peaches,The Presidents Of The United States Of America,2HF2D2b2m66EK6fwGcHIor,alternative metal,1995-09-24,31,0.423,0.826,11,-6.439,1,0.0596,0.0188,0.000181,0.066,0.625,94.227,169667,4
4261,2 / 14,The Band CAMINO,5sCvipEhpAhVhu3K6kzm1P,electropop,2016-04-01,53,0.607,0.708,9,-7.428,1,0.0539,0.377,0.0,0.294,0.551,97.005,163690,4
4262,Hair Of The Dog,Nazareth,1wXE6zvNWRz8GuMfEUgETz,album rock,1975-01-01,60,0.688,0.745,4,-10.323,1,0.0519,0.00285,0.238,0.114,0.688,128.556,249240,4
4263,Only For You,Heartless Bastards,17ZnveSDBpG9QtL7zLJNPy,indie folk,2012-02-14,51,0.677,0.649,10,-5.906,1,0.0311,0.0442,0.0695,0.104,0.787,82.016,308067,4
4264,When Im Gone,Nomy,32uLqfkphSZIf9sZjWMiJg,swedish alternative rock,2009-01-01,16,0.288,0.599,2,-3.648,1,0.036,0.0276,0.0,0.134,0.292,155.368,237787,4
4265,Morrison,FRENSHIP,7FwUBR93O0aSvXltMM73e7,electropop,2014-06-03,36,0.703,0.731,11,-6.643,1,0.0379,0.0441,0.0618,0.152,0.596,109.989,235755,4
4266,"Mac Dre Day (feat. Nef the Pharaoh, J-Diggs, D-Lo & Mistah Fab)",Mac Dre,2gMQivNbWaNr1aqhe7Krhv,cali rap,2016-07-05,35,0.748,0.52,1,-5.883,1,0.305,0.0226,0.0,0.164,0.281,90.444,349878,4
4267,Back That Azz Up,JUVENILE,6o2g1BJvtYQssH84kBYs7y,bounce,1998-01-01,68,0.874,0.714,7,-6.664,1,0.129,0.0155,0.0,0.0968,0.541,95.826,265600,4
4268,Crazy - The Voice Performance,Melanie Martinez,5SR0Gdp7yyZyGbQq4ULXwX,alt z,2012-01-01,0,0.595,0.558,8,-5.706,1,0.0267,0.618,1.89e-06,0.102,0.11,101.923,212293,4
4269,Hot Issue,4Minute,2pYCLqmAYCLoDMW7OmODqw,k-pop,2010-01-01,9,0.874,0.847,1,-2.005,1,0.0437,0.00175,0.0345,0.0436,0.388,128.008,208947,4
4270,Stuck In The Middle,Jay Sean,14H10sPP9qzfWuPzjLbiya,dance pop,2009-01-01,0,0.659,0.684,9,-5.096,0,0.0378,0.189,0.0,0.16,0.668,140.016,215640,4
4271,Blue Bandana,Jerrod Niemann,3grLIqa7QgvP5Q6UjHPtmp,contemporary country,2015-07-10,37,0.475,0.829,9,-5.055,1,0.044,0.116,4.11e-05,0.123,0.325,167.845,207867,4
4272,The River,Jordan Feliz,1mSMwIW4ZK6DVl499FvDPv,ccm,2015-10-02,2,0.65,0.909,10,-5.015,0,0.0352,0.102,0.0,0.344,0.823,124.007,195507,4
4273,Reaching Out,Bassnectar,3anyoDE1gcNsRtLmkE55bU,breakbeat,2016-06-17,0,0.399,0.925,7,-5.45,0,0.0382,0.00297,0.799,0.106,0.145,176.009,294000,4
4274,Englishman In New York,Sting,0k9un4VZY52tvtxNhg6XLo,permanent wave,1987-01-01,0,0.683,0.477,9,-12.802,1,0.0389,0.424,3.09e-05,0.144,0.618,102.014,266960,4
4275,Square Body,Shotgun Shane,1VAQzoJgDL4g6002PPRaCf,country rap,2017-01-20,0,0.79,0.401,1,-14.481,1,0.335,0.0047,0.0,0.0759,0.522,150.011,220000,4
4276,The Host Of Seraphim (Remastered),Dead Can Dance,6NfhJnufcldpDimI4UiLof,dark wave,1988,0,0.117,0.297,5,-13.086,0,0.0383,0.00655,0.881,0.108,0.0305,57.063,378173,4
4277,Wonderfully Made,Ellie Holcomb,5wkXQG7N7di8Vn1hTsTQLl,anthem worship,2017-01-27,47,0.289,0.399,10,-9.561,1,0.0296,0.594,0.0,0.134,0.329,146.9,320280,3
4278,How Do You Get That Lonely,Blaine Larsen,2shSwyk8jmYnfedaOvQpU4,country road,2005,43,0.594,0.506,5,-5.487,1,0.0267,0.446,0.0,0.0616,0.268,135.809,248533,4
4279,Tattoo,Hunter Hayes,0Rm6GWdapFsg4Z6r2Ae3s8,contemporary country,2014-05-06,41,0.6,0.931,8,-3.492,1,0.0681,0.128,0.0,0.0688,0.716,96.954,196733,4
4280,Jump,Mac Miller,7uhniEFBcLsYD4W92E0Nx2,hip hop,2015-09-18,53,0.649,0.783,5,-7.187,0,0.0734,0.0597,0.0,0.735,0.298,132.986,279733,4
4281,570,Motionless In White,7vlNJsXwdCNXpSCvC58jFa,alternative metal,2017-05-05,48,0.287,0.953,7,-2.819,1,0.088,5.71e-06,4.73e-05,0.497,0.32,92.483,271283,4
4282,Lay Up,Future,3AbNHUXVOL9fnddGANU7bY,atl hip hop,2015-05-12,0,0.765,0.614,7,-7.395,0,0.216,0.39,0.0,0.14,0.567,142.991,167133,4
4283,I Feel Lucky,Mary Chapin Carpenter,6IItFqIHg6jHleKOYI7Aas,country,1990,47,0.77,0.707,6,-9.356,0,0.0402,0.26,0.000192,0.134,0.883,120.069,265667,4
4284,Breakdown,Ar'mon & Trey,157FOVCwRwLXmoHtPX7s1Q,pop r&b,2017-05-13,0,0.568,0.534,6,-6.436,0,0.0593,0.226,0.0,0.131,0.264,150.034,217600,4
4285,El kilo,Orishas,3u443qbzetPXOCCClulrQB,conscious hip hop,2005,45,0.614,0.676,0,-6.448,1,0.301,0.495,5.41e-06,0.0972,0.771,78.379,264800,4
4286,Take You - Acoustic Version,Justin Bieber,4JUaBY6fOVvzaqSJVuhrrD,canadian pop,2013-01-01,45,0.57,0.341,6,-9.842,1,0.0345,0.789,0.0,0.17,0.715,125.468,179373,4
