,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
48,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,7tMCIOFe99cWEYr21wfsDp,funk,1991,35,0.835,0.692,10,-6.514,0,0.114,0.248,0.000161,0.295,0.829,108.296,315840,4
49,Undone,Joe Nichols,7IQegyXekCsz3d042wbcPG,arkansas country,2016-05-13,0,0.417,0.702,0,-5.347,1,0.0326,0.435,0.0,0.0987,0.303,83.867,202827,4
50,Si Tu Lo Dejas,Rvssian,2naJy8SKJ27gj6ZhRPDKaz,latin,2017-08-03,65,0.713,0.577,1,-9.367,0,0.0436,0.0286,0.0,0.165,0.387,115.021,275478,4
51,Because Of You,Ne-Yo,0C80KJWvQWIGjbOiIurV1W,dance pop,2007-01-01,0,0.81,0.538,0,-5.784,0,0.0356,0.528,0.0,0.0951,0.828,109.97,266840,4
52,She Belongs to Me,Bob Dylan,2itBkHBUxGl4VfDj4HNyoD,classic rock,1965-03-22,43,0.729,0.382,9,-14.07,1,0.0367,0.699,0.0,0.152,0.637,112.179,166707,4
53,Get Jinxed,League of Legends,32IMcJ5pQ71rOFD0bIdneJ,speedrun,2015-01-28,0,0.434,0.884,7,-7.128,0,0.093,0.000728,0.00458,0.105,0.191,180.029,154960,4
54,El Patrón,Banda MS de Sergio Lizárraga,7y8euUGZzG1E58Nt6bOKNb,banda,2011-01-01,56,0.671,0.63,8,-3.55,1,0.179,0.662,4.21e-06,0.145,0.955,160.225,139987,3
55,Sails to Te Fiti,Mark Mancina,3XBQciUm8idlYY3XoxlTiC,soundtrack,2016-11-18,41,0.268,0.674,10,-10.377,1,0.117,0.497,0.905,0.0754,0.158,85.715,346307,3
56,NAPAL BAJI,PSY,448m3Ci1NB9ggSzfJWdN6I,k-pop,2015-12-01,0,0.792,0.828,7,-3.099,0,0.0423,0.0371,0.0,0.278,0.721,126.989,223215,4
57,Showtime,Jon Langston,1UcHUoTjIYqP8mEzsKyk6j,contemporary country,2015-05-05,33,0.492,0.884,1,-4.355,1,0.0565,0.000857,0.0,0.164,0.666,167.922,197547,4
58,Learn to Love,NEEDTOBREATHE,6iHNgA743rfLaDuUh6eE9f,ccm,2011-09-19,31,0.453,0.597,2,-5.412,1,0.0297,0.55,0.0,0.113,0.284,137.887,261013,4
59,Plastic Dreams (feat. Johanna Fay),G-Eazy,3fUbkkgPDNfKT03FJIk9m2,hip hop,2012-07-24,26,0.492,0.636,0,-7.888,1,0.0616,0.327,0.0,0.185,0.288,84.962,234035,4
60,Actin Like You Know,Mackenzie Nicole,25vfHvcLfa5g0Yi8IVKzjM,kansas city hip hop,2016-01-27,23,0.582,0.561,5,-6.484,0,0.0275,0.174,0.0,0.0852,0.22,130.046,184272,4
61,Arrodillate,Ariel Camacho y Los Plebes Del Rancho,34waBSd6B1MQoGbjbuZ507,corrido,2014-09-23,49,0.751,0.471,7,-4.785,1,0.0394,0.715,6.04e-06,0.0893,0.86,140.152,200580,3
62,Might As Well Get Stoned,Chris Stapleton,0DBYW9lHjTTz55gIt63IB9,contemporary country,2015-05-04,60,0.569,0.571,2,-8.393,1,0.0311,0.146,0.0304,0.155,0.635,121.698,277067,4
63,Human Race,Three Days Grace,7q096gH9G0OjuUduheqM4l,alternative metal,2015-03-27,55,0.261,0.849,10,-5.146,1,0.0591,0.0565,1.84e-06,0.242,0.23,142.791,249280,4
64,Look At Me Fly,Stoney LaRue,6mdE6zjIRP9RFe9nSMMW9U,heartland rock,2011-08-30,0,0.533,0.817,7,-5.099,1,0.0321,0.0476,0.00177,0.0942,0.36,118.449,292387,4
65,Stranger / Lover,Ibeyi,6CCcd2AtzUmGn1pVqb2IGM,cuban alternative,2015-02-16,0,0.583,0.457,2,-7.634,0,0.0374,0.005,0.0227,0.0971,0.273,180.144,251421,4
